earthquake name,records name,earthquake date,earthquake time,lat,long,depth,mag,stn_code,stn_lat,stn_long,stn_height,rcd_date,rcd_time,frequency,rcd_duration,direction,scale_factor,max_pga,epi_dist,pick_index_manually,pick_index_kalkan,snr_db_kalkan,tc_5sec,tc_4sec,tc_3sec,tc_2sec,tc_1sec,Pd_5sec,Pd_4sec,Pd_3sec,Pd_2sec,Pd_1sec,Pga_5sec,Pga_4sec,Pga_3sec,Pga_2sec,Pga_1sec,Channel,Scale_factor,PGA_ew,Channel.1,Scale_factor.1,PGA_ns
19990102012000.knt,FKS0139901020120.UD,1999-01-02, 01:20:00,36.22,141.697,52,5.0,FKS013,37.09,140.5563,320,1999-01-02, 01:20:20,100Hz,119,U-D,0.0002384185791015625,0.696,140.40062757022037,0,2.0,2.202635742882901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E-W,0.0002384185791015625,2.004,N-S,0.0002384185791015625,2.256
19990102012000.knt,FKS0169901020120.UD,1999-01-02, 01:20:00,36.22,141.697,52,5.0,FKS016,37.1228,140.1914,375,1999-01-02, 01:20:20,100Hz,119,U-D,0.0002384185791015625,1.042,167.65160787813295,0,1.0,-5.33124066004929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E-W,0.0002384185791015625,3.07,N-S,0.0002384185791015625,4.114
19990102012000.knt,FKS0179901020120.UD,1999-01-02, 01:20:00,36.22,141.697,52,5.0,FKS017,37.2842,140.3689,263,1999-01-02, 01:20:25,100Hz,119,U-D,0.0002384185791015625,0.88,167.3385548528722,0,-100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E-W,0.0002384185791015625,1.551,N-S,0.0002384185791015625,2.516
19990102012000.knt,FKS0239901020120.UD,1999-01-02, 01:20:00,36.22,141.697,52,5.0,FKS023,37.4774,139.9294,219,1999-01-02, 01:20:32,100Hz,119,U-D,0.0002384185791015625,0.579,210.43515477770652,0,-100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E-W,0.0002384185791015625,3.627,N-S,0.0002384185791015625,2.621
19990102012000.knt,FKS0249901020120.UD,1999-01-02, 01:20:00,36.22,141.697,52,5.0,FKS024,37.3957,140.1325,527,1999-01-02, 01:20:26,100Hz,119,U-D,0.0002384185791015625,2.111,191.0202732225978,0,1.0,-1.3863086516036838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E-W,0.0002384185791015625,3.591,N-S,0.0002384185791015625,4.284
19990102012000.knt,IBR0019901020120.UD,1999-01-02, 01:20:00,36.22,141.697,52,5.0,IBR001,36.7761,140.3569,105,1999-01-02, 01:20:12,100Hz,119,U-D,0.0002384185791015625,1.183,134.80418139815325,0,1.0,-13.26088027725772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E-W,0.0002384185791015625,2.885,N-S,0.0002384185791015625,2.944
19990102012000.knt,IBR0029901020120.UD,1999-01-02, 01:20:00,36.22,141.697,52,5.0,IBR002,36.7061,140.7068,9,1999-01-02, 01:20:02,100Hz,119,U-D,0.0002384185791015625,1.463,103.74342688877384,127,176.0,21.89913517418258,3.9482507105757314,4.567125969463657,5.144158759906474,5.724351668720763,4.86228825123667,0.004412474783303647,0.004412474783303647,0.004412474783303647,0.0036104482039346006,0.0035897883589490615,0.589163045504348,0.589163045504348,0.589163045504348,0.2506363163634343,0.14917751860579898,E-W,0.0002384185791015625,2.693,N-S,0.0002384185791015625,3.153
19990102012000.knt,IBR0039901020120.UD,1999-01-02, 01:20:00,36.22,141.697,52,5.0,IBR003,36.5915,140.6453,58,1999-01-02, 01:20:59,100Hz,119,U-D,0.0002384185791015625,2.256,102.78563899085655,393,447.0,23.968538074198054,0.9128026202298497,0.9910349043758644,0.9749985033320009,1.5174368098885902,3.6866926508037747,0.0018665384442131093,0.0018665384442131093,0.0018665384442131093,0.0018665384442131093,0.0018665384442131093,1.2792088505474388,1.2792088505474388,1.1490713833007489,0.9397082571652934,0.2728958566485402,E-W,0.0002384185791015625,3.458,N-S,0.0002384185791015625,3.693
19990102012000.knt,IBR0059901020120.UD,1999-01-02, 01:20:00,36.22,141.697,52,5.0,IBR005,36.3851,140.2372,63,1999-01-02, 01:20:09,100Hz,119,U-D,0.0002384185791015625,1.91,132.09644360725073,0,-100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E-W,0.0002384185791015625,3.699,N-S,0.0002384185791015625,3.735
19990102012000.knt,IBR0109901020120.UD,1999-01-02, 01:20:00,36.22,141.697,52,5.0,IBR010,36.1843,139.9653,23,1999-01-02, 01:20:18,100Hz,119,U-D,0.0002384185791015625,0.955,155.42961847002687,0,1.0,9.009254748917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E-W,0.0002384185791015625,2.186,N-S,0.0002384185791015625,1.767
