earthquake name,records name,earthquake date,earthquake time,lat,long,depth,mag,stn_code,stn_lat,stn_long,stn_height,rcd_date,rcd_time,frequency,rcd_duration,direction,scale_factor,max_pga,epi_dist,pick_index_manually,pick_index_kalkan,snr_db_kalkan,tc_5sec,tc_4sec,tc_3sec,tc_2sec,tc_1sec,Pd_5sec,Pd_4sec,Pd_3sec,Pd_2sec,Pd_1sec,Pga_5sec,Pga_4sec,Pga_3sec,Pga_2sec,Pga_1sec,Channel,Scale_factor,PGA_ew,Channel.1,Scale_factor.1,PGA_ns
19990101233000.knt,OIT0029901012330.UD,1999-01-01, 23:30:00,33.32,131.348,9,3.7,OIT002,33.5685,131.2678,9,1999-01-01, 23:30:11,100Hz,119,U-D,0.0002384185791015,4.057,28.61635761161313,1387,1401.0,29.957554767757124,0.7021452817687489,0.5292215228576256,0.460174057998705,0.4386377867152184,0.4536173154791638,0.0053493761351498,0.0037158647258856,0.0037158647258856,0.0037158647258856,0.0037158647258856,4.043327538029686,3.5687531431672923,3.5687531431672923,3.5687531431672923,3.5687531431672923,E-W,0.0002384185791015,5.967,N-S,0.0002384185791015,8.662
19990101233000.knt,OIT0049901012330.UD,1999-01-01, 23:30:00,33.32,131.348,9,3.7,OIT004,33.5666,131.7378,7,1999-01-01, 23:30:19,100Hz,119,U-D,0.0002384185791015,1.367,45.38688486580483,844,822.0000000000001,18.777714758308505,1.2226565576703106,1.064930027554018,0.8919464232295129,1.0364988530220491,1.1546811205464176,0.0010079379927661,0.0010042708877146,0.0010042708877146,0.0010042708877146,0.0010042708877146,0.8229958432048257,0.8229958432048257,0.8229958432048257,0.8229958432048257,0.8229958432048257,E-W,0.0002384185791015,3.548,N-S,0.0002384185791015,3.793
19990101233000.knt,OIT0059901012330.UD,1999-01-01, 23:30:00,33.32,131.348,9,3.7,OIT005,33.4549,131.1142,113,1999-01-01, 23:30:11,100Hz,119,U-D,0.0002384185791015,3.707,26.38557214079701,1354,1353.0,23.33115546029419,3.561825529332629,4.34537866908533,3.904022737951247,2.33230461465083,0.8664877422422891,0.012797557740103,0.012282633248398,0.012282633248398,0.0079513062388461,0.0032938582798348,3.69925311296314,2.3660592220767143,1.4690748071511444,1.4690748071511444,1.4690748071511444,E-W,0.0002384185791015,19.163,N-S,0.0002384185791015,15.509
19990101233000.knt,OIT0069901012330.UD,1999-01-01, 23:30:00,33.32,131.348,9,3.7,OIT006,33.4211,131.3172,88,1999-01-01, 23:30:10,100Hz,119,U-D,0.0002384185791015,7.649,11.59994524140042,1210,1218.0,30.73134573294492,1.2914714651592134,1.2646284498496776,0.8547163188886864,0.70579544578174,0.6760378035898156,0.0149718874235134,0.0149718874235134,0.0121052769259747,0.0121052769259747,0.0121052769259747,7.581527482035909,7.581527482035909,7.581527482035909,7.581527482035909,7.581527482035909,E-W,0.0002384185791015,16.331,N-S,0.0002384185791015,23.651
19990101233000.knt,OIT0079901012330.UD,1999-01-01, 23:30:00,33.32,131.348,9,3.7,OIT007,33.4152,131.6148,24,1999-01-01, 23:30:14,100Hz,119,U-D,0.0002384185791015,1.462,26.94313625048333,1063,1061.0,20.59303545413008,1.303341479821836,1.6055025626594182,1.89645909721838,2.2815597401475927,1.9342581799975893,0.0042324361635804,0.0042324361635804,0.0042324361635804,0.0033812577009732,0.0033812577009732,1.4641373661003334,1.4641373661003334,1.125719610117584,1.125719610117584,1.125719610117584,E-W,0.0002384185791015,2.495,N-S,0.0002384185791015,3.199
19990101233000.knt,OIT0099901012330.UD,1999-01-01, 23:30:00,33.32,131.348,9,3.7,OIT009,33.2569,131.3439,458,1999-01-01, 23:30:07,100Hz,119,U-D,0.0002384185791015,18.182,7.026741779239988,1429,1449.0,20.372213861508804,0.7188767794333017,0.696082232398599,0.6987879759235315,0.8045452939459423,0.4766890347103993,0.0494438217561082,0.0389071215169126,0.0389071215169126,0.02992352893329,0.0132239294411138,18.187788443732323,18.187788443732323,18.187788443732323,18.187788443732323,13.045496424891606,E-W,0.0002384185791015,29.011,N-S,0.0002384185791015,24.873
19990102012000.knt,IBR0029901020120.UD,1999-01-02, 01:20:00,36.22,141.697,52,5.0,IBR002,36.7061,140.7068,9,1999-01-02, 01:20:02,100Hz,119,U-D,0.0002384185791015,1.463,103.74342688877384,127,176.0,21.89913517418258,3.9482507105757314,4.567125969463657,5.144158759906474,5.724351668720763,4.86228825123667,0.0044124747833036,0.0044124747833036,0.0044124747833036,0.0036104482039346,0.003589788358949,0.589163045504348,0.589163045504348,0.589163045504348,0.2506363163634343,0.1491775186057989,E-W,0.0002384185791015,2.693,N-S,0.0002384185791015,3.153
19990102012000.knt,IBR0039901020120.UD,1999-01-02, 01:20:00,36.22,141.697,52,5.0,IBR003,36.5915,140.6453,58,1999-01-02, 01:20:59,100Hz,119,U-D,0.0002384185791015,2.256,102.78563899085655,393,447.0,23.96853807419805,0.9128026202298496,0.9910349043758644,0.9749985033320008,1.5174368098885902,3.686692650803775,0.0018665384442131,0.0018665384442131,0.0018665384442131,0.0018665384442131,0.0018665384442131,1.2792088505474388,1.2792088505474388,1.1490713833007489,0.9397082571652934,0.2728958566485402,E-W,0.0002384185791015,3.458,N-S,0.0002384185791015,3.693
19990102012000.knt,TCG0149901020120.UD,1999-01-02, 01:20:00,36.22,141.697,52,5.0,TCG014,36.545,140.1742,130,1999-01-02, 01:20:58,100Hz,119,U-D,0.0002384185791015,2.281,141.02837081935826,1017,1078.0,22.991526324380487,0.3937160555275097,0.3818532140298748,0.3625853988643857,0.3785285682957199,0.8530446863014106,0.0022920477159212,0.0022920477159212,0.0022920477159212,0.0022920477159212,0.0015688924793686,2.29355870066436,2.29355870066436,2.29355870066436,2.29355870066436,1.042214865812045,E-W,0.0002384185791015,6.458,N-S,0.0002384185791015,8.222
19990104055000.knt,EHM0029901040550.UD,1999-01-04, 05:50:00,33.403,133.264,40,4.0,EHM002,33.9216,133.3074,19,1999-01-04, 05:51:44,100Hz,119,U-D,0.0002384185791015,4.314,57.805405827474544,698,708.0,26.63908526908535,10.86386595468465,11.094007267414796,11.432318530808756,9.7168528143589,5.865337965439675,0.0096586931048615,0.0096586931048615,0.0096586931048615,0.0096586931048615,0.0087238147262866,1.9506029295401064,1.9506029295401064,1.9506029295401064,1.9506029295401064,1.9506029295401064,E-W,0.0002384185791015,12.278,N-S,0.0002384185791015,7.412
