earthquake name,records name,earthquake date,earthquake time,lat,long,depth,mag,stn_code,stn_lat,stn_long,stn_height,rcd_date,rcd_time,frequency,rcd_duration,direction,scale_factor,max_pga,epi_dist,pick_index_manually,pick_index_kalkan,snr_db_kalkan,tc_5sec,tc_4sec,tc_3sec,tc_2sec,tc_1sec,Pd_5sec,Pd_4sec,Pd_3sec,Pd_2sec,Pd_1sec,Pga_5sec,Pga_4sec,Pga_3sec,Pga_2sec,Pga_1sec,Channel,Scale_factor,PGA_ew,Channel.1,Scale_factor.1,PGA_ns
19960511144600.knt,HYG0179605111446.UD,1996-05-11, 14:46:00,34.52,134.964,10,4.0,HYG017,34.8593,134.5445,24,1996-05-11, 14:47:05,100Hz,59,U-D,0.0002384185791015,1.83,53.80064467303331,822,821.0000000000001,23.71837493498759,3.0231738864454933,2.879143969443521,2.3650947181745,2.4073186407599243,2.272842202868879,0.002759657704892,0.002759657704892,0.002759657704892,0.002759657704892,0.002759657704892,1.6632673854633016,1.6632673854633016,1.6632673854633016,1.6632673854633016,1.6632673854633016,E-W,0.0002384185791015,2.134,N-S,0.0002384185791015,3.546
19960511144600.knt,HYG0189605111446.UD,1996-05-11, 14:46:00,34.52,134.964,10,4.0,HYG018,34.8143,134.687,9,1996-05-11, 14:47:02,100Hz,59,U-D,0.0002384185791015,2.382,41.38424786251686,919,921.0,22.673657409860333,2.2697375115280427,2.3376995303473884,2.2309068900659312,1.8920980417276776,1.5470614592622942,0.0033604596213714,0.0033604596213714,0.0033604596213714,0.0033604596213714,0.0033604596213714,2.376544724241791,2.376544724241791,2.376544724241791,2.376544724241791,2.376544724241791,E-W,0.0002384185791015,4.838,N-S,0.0002384185791015,3.075
19960511144600.knt,HYG0199605111446.UD,1996-05-11, 14:46:00,34.52,134.964,10,4.0,HYG019,34.832,134.8236,45,1996-05-11, 14:47:01,100Hz,59,U-D,0.0002384185791015,8.688,36.99224839069642,937,543.0,17.85169170719051,0.6094355124326528,2.7359627954550447,3.648577811747148,4.376553868157477,4.860874897952463,0.0047984488567231,0.0034104135680088,0.0034104135680088,0.0034104135680088,0.0034104135680088,8.645374149972236,1.5026978371151818,1.2974272054156155,1.2974272054156155,1.2974272054156155,E-W,0.0002384185791015,17.563,N-S,0.0002384185791015,8.398
19960511144600.knt,HYG0209605111446.UD,1996-05-11, 14:46:00,34.52,134.964,10,4.0,HYG020,34.7976,134.9899,75,1996-05-11, 14:47:59,100Hz,59,U-D,0.0002384185791015,1.254,30.958477574424577,1051,1049.0,26.645880726100096,0.8094813473355549,1.2977324096593457,1.6956146944381154,1.786114614501925,2.1361806242658488,0.0022283249766434,0.0021003384794967,0.0021003384794967,0.0021003384794967,0.0021003384794967,1.241076002246158,1.127514896785113,1.127514896785113,1.127514896785113,1.127514896785113,E-W,0.0002384185791015,1.406,N-S,0.0002384185791015,3.16
19960511144600.knt,HYG0219605111446.UD,1996-05-11, 14:46:00,34.52,134.964,10,4.0,HYG021,34.6898,135.1583,90,1996-05-11, 14:47:58,100Hz,59,U-D,0.0002384185791015,2.538,25.93686898818804,1083,801.0,16.250210695420122,3.875284444964426,3.9450730105404728,4.327597108390082,4.42037015667397,6.044527251365254,0.0153787066766528,0.0153787066766528,0.0091840445388822,0.0078907029160402,0.0078907029160402,2.521665341929765,2.521665341929765,1.324435032329624,1.324435032329624,1.324435032329624,E-W,0.0002384185791015,8.936,N-S,0.0002384185791015,4.256
19960511144600.knt,HYG0239605111446.UD,1996-05-11, 14:46:00,34.52,134.964,10,4.0,HYG023,34.6444,134.9999,2,1996-05-11, 14:47:52,100Hz,59,U-D,0.0002384185791015,25.764,14.21772749110695,1486,1486.0,26.439233580252758,0.4683178538334146,0.4794030321189803,0.5275541860349015,0.5203493927089491,0.3223787303115136,0.0111099731434869,0.0111099731434869,0.0111099731434869,0.0097224599438966,0.0097224599438966,25.75361166923036,25.75361166923036,25.75361166923036,25.75361166923036,25.75361166923036,E-W,0.0002384185791015,19.073,N-S,0.0002384185791015,20.425
19960511144600.knt,HYG0249605111446.UD,1996-05-11, 14:46:00,34.52,134.964,10,4.0,HYG024,34.5321,134.9902,6,1996-05-11, 14:47:51,100Hz,59,U-D,0.0002384185791015,54.425,2.751569234519682,1481,1481.0,39.333404895825545,0.3390664461371652,0.3344121994621592,0.3170287274480959,0.2483610779236345,0.1809109870548856,0.0348994384625305,0.0348994384625305,0.0348994384625305,0.0299460200953459,0.0192576792835336,54.4663161595863,54.4663161595863,54.4663161595863,54.4663161595863,54.4663161595863,E-W,0.0002384185791015,59.816,N-S,0.0002384185791015,65.493
19960511144600.knt,HYG0259605111446.UD,1996-05-11, 14:46:00,34.52,134.964,10,4.0,HYG025,34.3405,134.9014,10,1996-05-11, 14:47:57,100Hz,59,U-D,0.0002384185791015,3.506,20.768835660892652,1117,1117.0,31.18241582604524,0.868051891328857,0.9374452302141728,2.5799891388573264,4.1710431499890745,4.358181243933079,0.002743881058157,0.0024129389083166,0.0024129389083166,0.0024129389083166,0.0024129389083166,3.514763363148605,3.514763363148605,1.4461008163938425,1.0339757974212698,1.0339757974212698,E-W,0.0002384185791015,4.727,N-S,0.0002384185791015,5.89
19960511144600.knt,HYG0269605111446.UD,1996-05-11, 14:46:00,34.52,134.964,10,4.0,HYG026,34.4149,134.7925,70,1996-05-11, 14:47:55,100Hz,59,U-D,0.0002384185791015,4.492,19.589856437858916,1280,1286.0,29.630265882374545,0.8510908142950033,0.9262523927465808,1.3690905139544278,0.9986137451035068,0.5210174228536548,0.0034256128596759,0.0034256128596759,0.0034256128596759,0.002493704925859,0.0014600803464128,4.491185538768765,4.491185538768765,2.3441136133775635,2.3441136133775635,2.3441136133775635,E-W,0.0002384185791015,11.536,N-S,0.0002384185791015,9.299
19960511144600.knt,KGW0019605111446.UD,1996-05-11, 14:46:00,34.52,134.964,10,4.0,KGW001,34.5466,134.2814,2,1996-05-11, 14:47:00,100Hz,59,U-D,0.0002384185791015,3.409,62.597344387674326,1466,1474.0,17.936932107579473,3.4277566582583328,3.4628066920387446,3.320425710190859,2.697025337011551,1.7207307354159398,0.0035006771904167,0.0035006771904167,0.0035006771904167,0.0035006771904167,0.0030285273823044,3.418190279087087,3.418190279087087,3.418190279087087,3.418190279087087,3.418190279087087,E-W,0.0002384185791015,3.679,N-S,0.0002384185791015,1.979
19960511144600.knt,KGW0029605111446.UD,1996-05-11, 14:46:00,34.52,134.964,10,4.0,KGW002,34.4727,134.3139,4,1996-05-11, 14:47:00,100Hz,59,U-D,0.0002384185791015,3.411,59.808496901546434,1431,1432.0,15.054987004612965,0.5668358815629087,0.5567816014745038,0.4843639137719565,0.3690555910490812,0.3387948391315247,0.0011717808791629,0.0011717808791629,0.0011717808791629,0.0011717808791629,0.0011717808791629,3.412789988124847,3.412789988124847,3.412789988124847,3.412789988124847,3.412789988124847,E-W,0.0002384185791015,5.468,N-S,0.0002384185791015,6.216
19960511144600.knt,TKS0019605111446.UD,1996-05-11, 14:46:00,34.52,134.964,10,4.0,TKS001,34.203,134.6098,2,1996-05-11, 14:47:06,100Hz,299,U-D,0.0002384185791015,1.215,47.95326400598736,670,537.0,13.69334780250945,4.194891275846973,4.476649797806816,4.319469164905607,4.1877985664353625,3.8404217041649535,0.0039071019728047,0.0039071019728047,0.0039071019728047,0.0039071019728047,0.0039071019728047,1.178720318214138,1.178720318214138,1.178720318214138,1.178720318214138,1.178720318214138,E-W,0.0002384185791015,2.731,N-S,0.0002384185791015,1.787
19960523183600.knt,IWT0039605231836.UD,1996-05-23, 18:36:00,38.653,142.313,39,5.0,IWT003,40.0083,141.8861,9,1996-05-23, 18:37:58,100Hz,59,U-D,0.0002384185791015,4.764,155.11033389155577,1046,1114.0,30.062271795295707,0.3997757443047985,0.3777976638385828,0.4919685112771622,0.9238722312059726,2.2151030368778017,0.0016747611547332,0.0015300460448183,0.0015300460448183,0.0015300460448183,0.0015300460448183,3.512872714002865,3.4580572348567222,3.087281149868013,1.6148402648282418,1.092257496653124,E-W,0.0002384185791015,6.289,N-S,0.0002384185791015,7.104
19960523183600.knt,IWT0049605231836.UD,1996-05-23, 18:36:00,38.653,142.313,39,5.0,IWT004,39.7369,141.9697,8,1996-05-23, 18:37:04,100Hz,299,U-D,0.0002384185791015,8.216,124.10167978159856,64,26.0,11.813811457499394,5.801654473526859,5.8050576222260375,5.626605297444193,4.638223406130508,2.905818326279775,0.0161126331265996,0.0161126331265996,0.0161126331265996,0.014775976727526,0.0095683799341677,3.208557650990913,3.208557650990913,3.208557650990913,3.208557650990913,2.1780210933193427,E-W,0.0002384185791015,9.953,N-S,0.0002384185791015,12.654
19960523183600.knt,IWT0059605231836.UD,1996-05-23, 18:36:00,38.653,142.313,39,5.0,IWT005,39.6472,141.9464,4,1996-05-23, 18:37:02,100Hz,299,U-D,0.0002384185791015,13.964,114.98070921425982,118,164.0,12.467937715883377,4.189299755111183,5.008074257414311,5.369002609134944,6.528248592900697,6.209548746789068,0.0160456366891706,0.0160456366891706,0.0160456366891706,0.0159389609026665,0.0134958319556139,2.9005687857885154,2.9005687857885154,2.9005687857885154,2.38649590904052,1.4520155566732402,E-W,0.0002384185791015,10.915,N-S,0.0002384185791015,15.207
19960523183600.knt,IWT0069605231836.UD,1996-05-23, 18:36:00,38.653,142.313,39,5.0,IWT006,39.4806,141.9652,4,1996-05-23, 18:37:57,100Hz,299,U-D,0.0002384185791015,12.692,96.79946826978218,2,462.0,2.8333226949379844,13.51993564975498,14.054992023059706,11.23361368645044,6.691210670613319,2.8928753965896026,1.109531718954002,1.109531718954002,1.109531718954002,0.9137718435867024,0.3920184180057809,1.3042255011175077,1.2288216763981892,1.2288216763981892,1.2288216763981892,1.2288216763981892,E-W,0.0002384185791015,19.756,N-S,0.0002384185791015,20.659
19960523183600.knt,IWT0079605231836.UD,1996-05-23, 18:36:00,38.653,142.313,39,5.0,IWT007,39.2701,141.8561,11,1996-05-23, 18:37:44,100Hz,79,U-D,0.0002384185791015,77.451,79.17718453396844,1441,1455.0,33.38364657645605,1.4039308151147485,1.5163879564587484,1.377044859526459,0.8790691324624906,0.230880663953571,0.0197456570885725,0.0197456570885725,0.0197456570885725,0.0168235227071582,0.0060166152256413,26.29606490113636,26.29606490113636,26.29606490113636,20.11874253679686,20.11874253679686,E-W,0.0002384185791015,187.534,N-S,0.0002384185791015,214.639
